"Dataset","Site","Leaf ID","Family","Genus","Species","Individual ID","Vein density (mm-1)"
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-9","Asteraceae","Senecio","integerrimus",3,6.164824482
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-16","Asteraceae","Chrysanthemum","leucanthemum",3,5.750163194
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-17","Asteraceae","Chrysanthemum","leucanthemum",3,6.34803344
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-18","Asteraceae","Chrysanthemum","leucanthemum",3,4.212965893
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-19","Valerianaceae","Valeriana","edulis",1,6.378293382
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-20","Valerianaceae","Valeriana","edulis",1,9.405352722
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-22","Valerianaceae","Valeriana","edulis",2,9.231080037
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-23","Valerianaceae","Valeriana","edulis",2,9.62112548
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-24","Valerianaceae","Valeriana","edulis",2,9.995316585
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-25","Valerianaceae","Valeriana","edulis",3,7.034652277
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-26","Valerianaceae","Valeriana","edulis",3,9.756316794
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-27","Valerianaceae","Valeriana","edulis",3,8.910707086
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-28","Asteraceae","Taraxacum","officinale",1,7.737367689
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-29","Asteraceae","Taraxacum","officinale",1,4.6761765
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-30","Asteraceae","Taraxacum","officinale",1,8.534498855
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-31","Asteraceae","Taraxacum","officinale",2,12.41492925
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-32","Asteraceae","Taraxacum","officinale",2,9.381965649
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-33","Asteraceae","Taraxacum","officinale",2,8.346359277
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-34","Asteraceae","Taraxacum","officinale",3,10.69009925
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-35","Asteraceae","Taraxacum","officinale",3,10.79798628
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-36","Asteraceae","Taraxacum","officinale",3,11.58500693
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-37","Rosaceae","Pentaphylloides","floribunda",1,11.72179285
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-38","Rosaceae","Pentaphylloides","floribunda",1,10.20139283
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-39","Rosaceae","Pentaphylloides","floribunda",1,11.70057481
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-41","Rosaceae","Pentaphylloides","floribunda",2,13.34647383
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-42","Rosaceae","Pentaphylloides","floribunda",2,12.23245817
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-43","Rosaceae","Pentaphylloides","floribunda",3,15.16770561
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-44","Rosaceae","Pentaphylloides","floribunda",3,13.80152553
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-45","Rosaceae","Pentaphylloides","floribunda",3,14.45554781
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-47","Salicaceae","Salix","wolfii",1,10.13476612
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-48","Salicaceae","Salix","wolfii",1,9.803531172
"Temperate (Colorado, USA)","Washington Gulch Road","061110-1","Geraniaceae","Geranium","viscossimum",1,9.785209201
"Temperate (Colorado, USA)","Washington Gulch Road","061110-2","Geraniaceae","Geranium","viscossimum",1,9.983017257
"Temperate (Colorado, USA)","Washington Gulch Road","061110-3","Geraniaceae","Geranium","viscossimum",1,8.497836399
"Temperate (Colorado, USA)","Washington Gulch Road","061110-4","Geraniaceae","Geranium","viscossimum",2,10.15314541
"Temperate (Colorado, USA)","Washington Gulch Road","061110-5","Geraniaceae","Geranium","viscossimum",2,10.62740286
"Temperate (Colorado, USA)","Washington Gulch Road","061110-6","Geraniaceae","Geranium","viscossimum",2,8.598396752
"Temperate (Colorado, USA)","Washington Gulch Road","061110-7","Geraniaceae","Geranium","viscossimum",3,9.783211999
"Temperate (Colorado, USA)","Washington Gulch Road","061110-8","Geraniaceae","Geranium","viscossimum",3,8.63380461
"Temperate (Colorado, USA)","Washington Gulch Road","061110-9","Geraniaceae","Geranium","viscossimum",3,9.745800201
"Temperate (Colorado, USA)","Washington Gulch Road","061110-10","Asteraceae","Hymenoxys","hoopesii",1,7.815486212
"Temperate (Colorado, USA)","Washington Gulch Road","061110-11","Asteraceae","Hymenoxys","hoopesii",1,10.3189334
"Temperate (Colorado, USA)","Washington Gulch Road","061110-12","Asteraceae","Hymenoxys","hoopesii",1,7.609433797
"Temperate (Colorado, USA)","Washington Gulch Road","061110-13","Asteraceae","Hymenoxys","hoopesii",2,7.858366056
"Temperate (Colorado, USA)","Washington Gulch Road","061110-14","Asteraceae","Hymenoxys","hoopesii",2,7.213006593
"Temperate (Colorado, USA)","Washington Gulch Road","061110-15","Asteraceae","Hymenoxys","hoopesii",2,7.844207891
"Temperate (Colorado, USA)","Washington Gulch Road","061110-16","Asteraceae","Hymenoxys","hoopesii",3,7.42726662
"Temperate (Colorado, USA)","Washington Gulch Road","061110-17","Asteraceae","Hymenoxys","hoopesii",3,6.754684675
"Temperate (Colorado, USA)","Washington Gulch Road","061110-18","Asteraceae","Hymenoxys","hoopesii",3,6.743305502
"Temperate (Colorado, USA)","Washington Gulch Road","061110-19","Fabaceae","Vicia","americana",1,9.31259207
"Temperate (Colorado, USA)","Washington Gulch Road","061110-20","Fabaceae","Vicia","americana",1,7.141073151
"Temperate (Colorado, USA)","Washington Gulch Road","061110-21","Fabaceae","Vicia","americana",1,8.242906193
"Temperate (Colorado, USA)","Washington Gulch Road","061110-22","Fabaceae","Vicia","americana",2,10.04807378
"Temperate (Colorado, USA)","Washington Gulch Road","061110-23","Fabaceae","Vicia","americana",2,8.676706863
"Temperate (Colorado, USA)","Washington Gulch Road","061110-24","Fabaceae","Vicia","americana",2,6.927114233
"Temperate (Colorado, USA)","Washington Gulch Road","061110-25","Fabaceae","Vicia","americana",3,9.456349655
"Temperate (Colorado, USA)","Washington Gulch Road","061110-26","Fabaceae","Vicia","americana",3,8.803115042
"Temperate (Colorado, USA)","Washington Gulch Road","061110-27","Fabaceae","Vicia","americana",3,8.416425373
"Temperate (Colorado, USA)","Washington Gulch Road","061110-28","Fabaceae","Lathyrus","lanzwertii",1,5.014799019
"Temperate (Colorado, USA)","Washington Gulch Road","061110-29","Fabaceae","Lathyrus","lanzwertii",1,6.684126237
"Temperate (Colorado, USA)","Washington Gulch Road","061110-30","Fabaceae","Lathyrus","lanzwertii",1,6.696750509
"Temperate (Colorado, USA)","Washington Gulch Road","061110-31","Fabaceae","Lathyrus","lanzwertii",2,5.741242723
"Temperate (Colorado, USA)","Washington Gulch Road","061110-32","Fabaceae","Lathyrus","lanzwertii",2,7.994710135
"Temperate (Colorado, USA)","Washington Gulch Road","061110-33","Fabaceae","Lathyrus","lanzwertii",2,6.573717642
"Temperate (Colorado, USA)","Washington Gulch Road","061110-34","Fabaceae","Lathyrus","lanzwertii",3,6.332644693
"Temperate (Colorado, USA)","Washington Gulch Road","061110-36","Fabaceae","Lathyrus","lanzwertii",3,6.531328394
"Temperate (Colorado, USA)","Washington Gulch Road","061110-37","Asteraceae","Erigeron","speciosus",1,14.13413132
"Temperate (Colorado, USA)","Washington Gulch Road","061110-38","Asteraceae","Erigeron","speciosus",1,12.04481332
"Temperate (Colorado, USA)","Washington Gulch Road","061110-39","Asteraceae","Erigeron","speciosus",1,9.732065868
"Temperate (Colorado, USA)","Washington Gulch Road","061110-40","Asteraceae","Erigeron","speciosus",2,9.753555138
"Temperate (Colorado, USA)","Washington Gulch Road","061110-41","Asteraceae","Erigeron","speciosus",2,9.502145541
"Temperate (Colorado, USA)","Washington Gulch Road","061110-42","Asteraceae","Erigeron","speciosus",2,9.470393876
"Temperate (Colorado, USA)","Washington Gulch Road","061110-43","Asteraceae","Erigeron","speciosus",3,10.38996297
"Temperate (Colorado, USA)","Washington Gulch Road","061110-44","Asteraceae","Erigeron","speciosus",3,10.27666664
"Temperate (Colorado, USA)","Washington Gulch Road","061110-45","Asteraceae","Erigeron","speciosus",3,8.134907484
"Temperate (Colorado, USA)","Washington Gulch Road","061110-46","Rosaceae","Potentilla","gracilis",1,10.01821241
"Temperate (Colorado, USA)","Washington Gulch Road","061110-47","Rosaceae","Potentilla","gracilis",1,12.83754133
"Temperate (Colorado, USA)","Washington Gulch Road","061110-48","Rosaceae","Potentilla","gracilis",1,7.350788467
"Temperate (Colorado, USA)","Washington Gulch Road","061110-49","Rosaceae","Potentilla","gracilis",2,12.52336359
"Temperate (Colorado, USA)","Washington Gulch Road","061110-50","Rosaceae","Potentilla","gracilis",2,13.17266575
"Temperate (Colorado, USA)","Washington Gulch Road","061110-51","Rosaceae","Potentilla","gracilis",2,11.10241256
"Temperate (Colorado, USA)","Washington Gulch Road","061110-52","Rosaceae","Potentilla","gracilis",3,11.74162411
"Temperate (Colorado, USA)","Washington Gulch Road","061110-53","Rosaceae","Potentilla","gracilis",3,9.470800834
"Temperate (Colorado, USA)","Washington Gulch Road","061110-54","Rosaceae","Potentilla","gracilis",3,12.36945686
"Temperate (Colorado, USA)","Washington Gulch Road","061510-10","Asteraceae","Chrysothamnus","parryi",1,9.268263231
"Temperate (Colorado, USA)","Washington Gulch Road","061510-11","Asteraceae","Chrysothamnus","parryi",1,9.584047402
"Temperate (Colorado, USA)","Washington Gulch Road","061510-12","Asteraceae","Chrysothamnus","parryi",1,9.18553471
"Temperate (Colorado, USA)","Washington Gulch Road","061510-13","Asteraceae","Chrysothamnus","parryi",2,7.40287441
"Temperate (Colorado, USA)","Washington Gulch Road","061510-14","Asteraceae","Chrysothamnus","parryi",2,13.20512683
"Temperate (Colorado, USA)","Washington Gulch Road","061510-15","Asteraceae","Chrysothamnus","parryi",2,7.306559439
"Temperate (Colorado, USA)","Washington Gulch Road","061510-16","Asteraceae","Chrysothamnus","parryi",3,4.808443839
"Temperate (Colorado, USA)","Washington Gulch Road","061510-17","Asteraceae","Chrysothamnus","parryi",3,7.153556776
"Temperate (Colorado, USA)","Washington Gulch Road","061510-18","Asteraceae","Chrysothamnus","parryi",3,9.033563549
"Temperate (Colorado, USA)","Washington Gulch Road","061510-19","Asteraceae","Achillea","millefolia",1,5.908189858
"Temperate (Colorado, USA)","Washington Gulch Road","061510-20","Asteraceae","Achillea","millefolia",1,6.286615866
"Temperate (Colorado, USA)","Washington Gulch Road","061510-21","Asteraceae","Achillea","millefolia",1,8.521918388
"Temperate (Colorado, USA)","Washington Gulch Road","061510-22","Asteraceae","Achillea","millefolia",2,7.662348208
"Temperate (Colorado, USA)","Washington Gulch Road","061510-23","Asteraceae","Achillea","millefolia",2,11.8652009
"Temperate (Colorado, USA)","Washington Gulch Road","061510-24","Asteraceae","Achillea","millefolia",2,11.5882514
"Temperate (Colorado, USA)","Washington Gulch Road","061510-25","Asteraceae","Achillea","millefolia",3,5.844215419
"Temperate (Colorado, USA)","Washington Gulch Road","061510-26","Asteraceae","Achillea","millefolia",3,10.46059126
"Temperate (Colorado, USA)","Washington Gulch Road","061510-27","Asteraceae","Achillea","millefolia",3,6.710038837
"Temperate (Colorado, USA)","Washington Gulch Road","061510-37","Violaceae","Viola","sororia",1,9.18467673
"Temperate (Colorado, USA)","Washington Gulch Road","061510-38","Violaceae","Viola","sororia",1,6.783838259
"Temperate (Colorado, USA)","Washington Gulch Road","061510-39","Violaceae","Viola","sororia",1,8.619217097
"Temperate (Colorado, USA)","Washington Gulch Road","061510-40","Violaceae","Viola","sororia",2,9.99250322
"Temperate (Colorado, USA)","Washington Gulch Road","061510-41","Violaceae","Viola","sororia",2,6.179984911
"Temperate (Colorado, USA)","Washington Gulch Road","061510-42","Violaceae","Viola","sororia",2,8.505607254
"Temperate (Colorado, USA)","Washington Gulch Road","061510-43","Violaceae","Viola","sororia",3,8.450258922
"Temperate (Colorado, USA)","Washington Gulch Road","061510-44","Violaceae","Viola","sororia",3,6.929750992
"Temperate (Colorado, USA)","Washington Gulch Road","061510-45","Violaceae","Viola","sororia",3,7.118556776
"Temperate (Colorado, USA)","Washington Gulch Road","061510-46","Salicaceae","Salix","tallmorph",1,8.809910887
"Temperate (Colorado, USA)","Washington Gulch Road","061510-47","Salicaceae","Salix","tallmorph",1,10.60665582
"Temperate (Colorado, USA)","Washington Gulch Road","061510-48","Salicaceae","Salix","tallmorph",1,5.269507357
"Temperate (Colorado, USA)","Washington Gulch Road","061510-49","Salicaceae","Salix","tallmorph",2,14.42875695
"Temperate (Colorado, USA)","Washington Gulch Road","061510-50","Salicaceae","Salix","tallmorph",2,7.735057284
"Temperate (Colorado, USA)","Washington Gulch Road","061510-51","Salicaceae","Salix","tallmorph",2,11.05190875
"Temperate (Colorado, USA)","Washington Gulch Road","061510-52","Salicaceae","Salix","tallmorph",3,10.64853735
"Temperate (Colorado, USA)","Washington Gulch Road","061510-53","Salicaceae","Salix","tallmorph",3,9.183596872
"Temperate (Colorado, USA)","Washington Gulch Road","061510-54","Salicaceae","Salix","tallmorph",3,10.10575925
"Temperate (Colorado, USA)","Washington Gulch Road","061510-55","Salicaceae","Salix","shortmorph",1,8.445650516
"Temperate (Colorado, USA)","Washington Gulch Road","061510-56","Salicaceae","Salix","shortmorph",1,9.128921059
"Temperate (Colorado, USA)","Washington Gulch Road","061510-57","Salicaceae","Salix","shortmorph",1,9.020177585
"Temperate (Colorado, USA)","Washington Gulch Road","061510-58","Salicaceae","Salix","shortmorph",2,8.612293035
"Temperate (Colorado, USA)","Washington Gulch Road","061510-59","Salicaceae","Salix","shortmorph",2,7.026203335
"Temperate (Colorado, USA)","Washington Gulch Road","061510-60","Salicaceae","Salix","shortmorph",2,6.593504171
"Temperate (Colorado, USA)","Washington Gulch Road","061510-61","Salicaceae","Salix","shortmorph",3,7.205206124
"Temperate (Colorado, USA)","Washington Gulch Road","061510-62","Salicaceae","Salix","shortmorph",3,6.961435267
"Temperate (Colorado, USA)","Washington Gulch Road","061510-63","Salicaceae","Salix","shortmorph",3,7.842596353
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-7","Apiaceae","Ligusticum","tenuifolium",1,5.725214213
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-8","Apiaceae","Ligusticum","tenuifolium",1,8.95413683
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-9","Apiaceae","Ligusticum","tenuifolium",1,8.633226584
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-10","Apiaceae","Ligusticum","tenuifolium",2,8.563514566
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-11","Apiaceae","Ligusticum","tenuifolium",2,8.112836445
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-12","Apiaceae","Ligusticum","tenuifolium",2,8.050130515
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-13","Apiaceae","Ligusticum","tenuifolium",3,5.620201691
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-14","Apiaceae","Ligusticum","tenuifolium",3,7.047597064
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-15","Apiaceae","Ligusticum","tenuifolium",3,6.726808945
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-16","Boraginaceae","Hydrophyllum","capitatum",1,4.370957961
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-17","Boraginaceae","Hydrophyllum","capitatum",1,5.556726937
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-19","Boraginaceae","Hydrophyllum","capitatum",2,8.818615063
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-20","Boraginaceae","Hydrophyllum","capitatum",2,6.14648469
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-21","Boraginaceae","Hydrophyllum","capitatum",2,4.037844474
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-22","Boraginaceae","Hydrophyllum","capitatum",3,6.82524175
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-23","Boraginaceae","Hydrophyllum","capitatum",3,10.31668575
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-24","Boraginaceae","Hydrophyllum","capitatum",3,6.097945889
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-25","Ranunculaceae","Aquilegia","coerulea",1,9.743867998
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-26","Ranunculaceae","Aquilegia","coerulea",1,12.73984982
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-27","Ranunculaceae","Aquilegia","coerulea",1,8.388704318
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-28","Ranunculaceae","Aquilegia","coerulea",2,9.629526798
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-29","Ranunculaceae","Aquilegia","coerulea",2,9.51962295
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-30","Ranunculaceae","Aquilegia","coerulea",2,12.82674201
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-31","Ranunculaceae","Aquilegia","coerulea",3,8.178433848
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-32","Ranunculaceae","Aquilegia","coerulea",3,11.75671804
"Temperate (Colorado, USA)","Across from Pfeiler home","061710-33","Ranunculaceae","Aquilegia","coerulea",3,10.78969055
